account,date,daily_pnl,trade_count,win_count,avg_size_tokens,avg_size_usd,long_count,short_count,best_trade_pnl,worst_trade_pnl,win_rate,long_short_ratio,is_winner,sentiment,classification,freq_bucket,winner_segment,total_pnl,total_trades,overall_wr,pnl_std,mean_trade_size,avg_ls_ratio,sentiment_binary
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-19,-59349.677108,349,92,997.0207518338108,1648.5575358166188,66,283,4317.48,-5981.36399,0.2636103151862464,0.18911174785100288,0,Fear,Fear,Infrequent,Consistent Loser,-27704.567439,617,0.19414872774471628,30964.413944042426,5212.250799060605,0.2820097244732577,0
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-10-27,34983.381862,144,76,270.8673293055556,4554.800138888889,59,85,4930.629033,-808.158708,0.5277777777777778,0.4097222222222222,1,Greed,Greed,Frequent,Mixed,14456.919336000003,3589,0.4235405579745203,39251.38738936482,4677.615483087406,0.4591808303148509,1
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-02-19,-20526.462526,3445,1100,2488.624521137881,4800.430827285922,1589,1856,7322.017,-31036.69194,0.3193033381712627,0.4612481857764877,0,Fear,Fear,Frequent,Mixed,14456.919336000003,3589,0.4235405579745203,39251.38738936482,4677.615483087406,0.4591808303148509,0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-10-27,7612.618288,191,79,2712.4343455497383,2786.4265445026176,112,79,1159.02984,0.0,0.41361256544502617,0.5863874345549738,1,Greed,Greed,Infrequent,Mixed,53496.247243,332,0.48694812669414433,27061.691165498392,3562.32316586833,0.5120481927710844,1
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2025-02-19,45883.628955,141,79,764.2303244170213,4338.219787234042,58,83,20665.89598,0.0,0.5602836879432624,0.41134751773049644,1,Fear,Fear,Infrequent,Mixed,53496.247243,332,0.48694812669414433,27061.691165498392,3562.32316586833,0.5120481927710844,0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-10-27,16102.56859,125,27,1084.744,6480.62816,18,107,8605.154778,0.0,0.216,0.144,1,Greed,Greed,Infrequent,Mixed,199505.59273200002,383,0.23009302325581393,118299.28661641778,5522.192161395349,0.26370757180156656,1
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-02-19,183403.024142,258,63,215.64699596899226,4563.756162790698,83,175,25997.375,0.0,0.2441860465116279,0.32170542635658916,1,Fear,Fear,Infrequent,Mixed,199505.59273200002,383,0.23009302325581393,118299.28661641778,5522.192161395349,0.26370757180156656,0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-03-09,0.0,88,0,8550.477272727272,1136.3127272727272,88,0,0.0,0.0,0.0,1.0,0,Greed,Extreme Greed,Infrequent,Consistent Winner,416541.872341,1051,0.5795973900106022,72509.12904270686,3111.6620970235913,0.2873453853472883,1
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-03,145563.448374,249,237,798.081980342972,1759.9534939759035,3,246,18282.19011,0.0,0.9518072289156626,0.012048192771084338,1,Neutral,Neutral,Infrequent,Consistent Winner,416541.872341,1051,0.5795973900106022,72509.12904270686,3111.6620970235913,0.2873453853472883,0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-27,160450.518105,43,38,2961.211063395349,6742.71976744186,0,43,29999.90625,0.0,0.8837209302325582,0.0,1,Greed,Greed,Infrequent,Consistent Winner,416541.872341,1051,0.5795973900106022,72509.12904270686,3111.6620970235913,0.2873453853472883,1
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-19,110527.905862,671,324,939.1015946348734,2807.6623994038746,211,460,7082.745948,0.0,0.4828614008941878,0.3144560357675112,1,Fear,Fear,Infrequent,Consistent Winner,416541.872341,1051,0.5795973900106022,72509.12904270686,3111.6620970235913,0.2873453853472883,0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-10-27,69282.42904,3711,1255,1186.5967464861114,494.23683912691996,1738,1973,2077.855821,-241.007336,0.3381837779574239,0.46833737537052006,1,Greed,Greed,Frequent,Mixed,101965.643134,8340,0.3518527444550567,25879.553074420644,518.0945601985864,0.4805755395683453,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-19,32683.214094,4629,1692,438.86966150844887,541.9522812702527,2270,2359,1350.793102,-1388.851115,0.36552171095268954,0.49038669259019224,1,Fear,Fear,Frequent,Mixed,101965.643134,8340,0.3518527444550567,25879.553074420644,518.0945601985864,0.4805755395683453,0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2024-10-27,61076.167808,328,135,2375.65031097561,8444.161189024391,183,145,5413.567874,-6169.375076,0.4115853658536585,0.5579268292682927,1,Greed,Greed,Frequent,Mixed,674403.995032,4134,0.45342799559104363,390500.89329457725,8721.255130770734,0.47895500725689405,1
