account,total_pnl,total_trades,overall_wr,pnl_std,mean_trade_size,trading_days,total_longs,total_shorts,avg_ls_ratio,freq_bucket,winner_segment
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14781.443047,1554,0.4510939510939511,,3643.361287001287,1,687,867,0.4420849420849421,Infrequent,Mixed
0x8170715b3b381dffb7062c0298972d4727a0a63b,196303.792847,3071,0.14381544502617802,138807.74309475298,2291.4922229493895,2,994,2077,0.32367307066102247,Infrequent,Mixed
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,64521.887634,1856,0.18860730875159287,45607.29298463915,3693.4206066304932,2,1118,738,0.6023706896551724,Infrequent,Mixed
0x8477e447846c758f5a675856001ea72298fd9cb5,77110.57877200001,11216,0.31904297150736477,30325.472764467504,935.8498685293911,3,4784,6432,0.42653352353780316,Frequent,Mixed
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,109197.778134,2804,0.23317573310667233,64917.39714894605,3183.173862887803,2,1860,944,0.6633380884450785,Infrequent,Mixed
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,89495.52289600001,13485,0.3693499526052079,6269.142867731186,1397.0147898539399,2,8528,4957,0.632406377456433,Frequent,Mixed
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,417,0.4773045688426012,41414.6924947144,3460.7354680222347,3,156,261,0.37410071942446044,Infrequent,Mixed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,29677.264671,372,0.4109311740890689,8608.14950223787,3230.1484251012143,2,217,155,0.5833333333333334,Infrequent,Mixed
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,534,0.27301587301587305,15308.01418469826,5151.995371428571,2,304,230,0.5692883895131086,Infrequent,Mixed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2040922.4260490001,14410,0.33240635480576364,612159.0976384933,5106.900183817335,5,6646,7764,0.46120749479528106,Frequent,Mixed
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,4838,0.4386109962794543,,22504.555828854896,1,2368,2470,0.48945845390657294,Frequent,Mixed
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940157.212682,21190,0.46753185464841907,,3210.7751864086836,1,11195,9995,0.5283152430391694,Frequent,Mixed
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,337113.65721599996,2478,0.26289390636195936,221869.10489635207,5414.876755980059,2,1103,1375,0.44511702986279256,Infrequent,Mixed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,811182.978768,36534,0.47706197670905004,394033.1511889349,2124.0605654260357,2,15660,20874,0.4286418131056003,Frequent,Mixed
